index	origin	start	end
1	Chr1	10000	122026459
CEN1	Chr1	122026460	125184587
2	Chr1	125184588	248946421
3	Chr2	10000	26715719
4	Chr2	26715720	35613694
5	Chr2	35613695	73348472
6	Chr2	73348473	82065730
7	Chr2	82065731	92188145
CEN2	Chr2	92188146	94090557
8	Chr2	94090558	242183528
9	Chr3	10000	90772458
CEN3	Chr3	90772459	93655574
10	Chr3	93655575	198235558
11	Chr4	10000	49708100
CEN4	Chr4	49708101	51743951
12	Chr4	51743952	190204554
13	Chr5	10000	46485900
CEN5	Chr5	46485901	50059807
14	Chr5	50059808	181478258
15	Chr6	60000	58553888
CEN6	Chr6	58553889	59829934
16	Chr6	59829935	170745978
17	Chr7	10000	58169653
CEN7	Chr7	58169654	60828234
18	Chr7	60828235	159335972
19	Chr8	60000	44033744
CEN8	Chr8	44033745	45877265
20	Chr8	45877266	106262842
21	Chr8	106262843	114929834
22	Chr8	114929835	119340343
23	Chr8	119340344	124061858
24	Chr8	124061859	145078635
25	Chr9	10000	43236167
CEN9	Chr9	43236168	45518558
26	Chr9	45518559	74090831
27	Chr9	74090832	83795945
28	Chr9	83795946	120937394
29	Chr9	120937395	125961166
30	Chr9	125961167	138334716
31	Chr10	10000	24866582
32	Chr10	24866583	24866583
33	Chr10	24866584	39686682
CEN10	Chr10	39686683	41593521
34	Chr10	41593522	133787421
35	Chr11	60000	13239156
36	Chr11	13239157	22910568
37	Chr11	22910569	33201696
38	Chr11	33201697	36922309
39	Chr11	36922310	51078348
CEN11	Chr11	51078349	54425074
40	Chr11	54425075	118840204
41	Chr11	118840205	122487051
42	Chr11	122487052	135076621
43	Chr12	10000	34769407
CEN12	Chr12	34769408	37185252
44	Chr12	37185253	39611643
45	Chr12	39611644	49013714
46	Chr12	49013715	93474711
47	Chr12	93474712	100912103
48	Chr12	100912104	125827917
49	Chr12	125827918	133265308
50	Chr13	16000000	16000000
CEN13	Chr13	16000001	18051248
51	Chr13	18051249	114354327
52	Chr14	16000000	16000000
CEN14	Chr14	16000001	18173523
53	Chr14	18173524	89849850
54	Chr14	89849851	89849851
55	Chr14	89849852	106883717
56	Chr15	17000000	17000000
CEN15	Chr15	17000001	19725254
57	Chr15	19725255	74120301
58	Chr15	74120302	75680570
59	Chr15	75680571	101981188
60	Chr16	10000	36311158
CEN16	Chr16	36311159	38280682
61	Chr16	38280683	90228344
62	Chr17	60000	22813679
CEN17	Chr17	22813680	26885980
63	Chr17	26885981	83247440
64	Chr18	10000	15460899
CEN18	Chr18	15460900	20861206
65	Chr18	20861207	80263284
66	Chr19	60000	24498980
CEN19	Chr19	24498981	27190874
67	Chr19	27190875	58607615
68	Chr20	60000	26436232
CEN20	Chr20	26436233	30038348
69	Chr20	30038349	64334166
70	Chr21	5010000	10864560
CEN21	Chr21	10864561	12915808
71	Chr21	12915809	46699982
72	Chr22	10510000	12954788
CEN22	Chr22	12954789	15054318
73	Chr22	15054319	50808467
74	ChrX	10000	58605579
CENX	ChrX	58605580	62412542
75	ChrX	62412543	156030894
76	ChrY	10000	10316944
CENY	ChrY	10316945	10544039
77	ChrY	10544040	57217414
---
chromosome	KT	telo1_len	telo2_len
Chr1a	1+,CEN1+,2+	10000	10000
Chr1b	1+,CEN1+,2+	10000	10000
Chr2a	3+,5+,23+,7+,CEN2+,8+	10000	10000
Chr2b	3+,4+,5+,6+,7+,CEN2+,8+	10000	10000
Chr3a	9+,CEN3+,10+	10000	60000
Chr3b	9+,CEN3+	10000	60000
Chr4a	11+,CEN4+,12+	10000	10000
Chr4b	11+,CEN4+,12+	10000	10000
Chr5a	13+,CEN5+,14+	10000	60000
Chr5b	13+,CEN5+,14+	10000	60000
Chr6a	15+,CEN6+,16+	60000	60000
Chr6b	15+,CEN6+,16+	60000	60000
Chr7a	17+,CEN7+,18+	10000	10000
Chr7b	17+,CEN7+,18+	10000	10000
Chr8a	19+,CEN8+,20+,22+,6+,24+	60000	60000
Chr8b	19+,CEN8+,20+,21+,22+,23+,24+	60000	60000
Chr9a	25+,CEN9+,26+,27+,28+,29+,30+	10000	60000
Chr9b	25+,CEN9+,26+,29+,27+,28+,30+	10000	60000
Chr10a	31+,4+,32+,33+,CEN10+,34+	10000	10000
Chr10b	31+,32+,33+,CEN10+,34+	10000	10000
Chr11a	35+,45+,37+,38-,39+,CEN11+,40+,41+,41-,42+	60000	10000
Chr11b	35+,36+,37+,38+,39+,CEN11+,40+,41+,42+	60000	10000
Chr12a	43+,CEN12+,44+,36+,46+,47+,48+,49+,49+	10000	10000
Chr12b	43+,CEN12+,44+,45+,46+,47+,48+,49+	10000	10000
Chr13a	50+,CEN13+,51+	16000000	10000
Chr13b	50+,CEN13+,51+	16000000	10000
Chr14a	52+,CEN14+,53+,21+,54+,55+	16000000	160000
Chr14b	52+,CEN14+,53+,54+,55+	16000000	160000
Chr15a	56+,CEN15+,57+,59+	17000000	10000
Chr15b	56+,CEN15+,57+,58+,59+	17000000	10000
Chr16a	60+,CEN16+,61+	10000	110000
Chr16b	60+,CEN16+,61+	10000	110000
Chr17a	62+,CEN17+,63+	60000	10000
Chr17b	62+,CEN17+,63+	60000	10000
Chr18a	64+,CEN18+,65+	10000	110000
Chr18b	64+,CEN18+	10000	110000
Chr19a	66+,CEN19+,67+	60000	10000
Chr19b	66+,CEN19+,67+	60000	10000
Chr20a	68+,CEN20+,69+	60000	110000
Chr20b	68+,CEN20+,69+	60000	110000
Chr21a	70+,CEN21+,71+	5010000	10000
Chr21b	70+,CEN21+,71+	5010000	10000
Chr22a	72+,CEN22+,73+	10510000	10000
Chr22b	72+,CEN22+,73+	10510000	10000
ChrXa	74+,CENX+,75+	10000	10000
ChrYa	76+,CENY+,77+	10000	10000
---
initialization
	autosomes: ['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr5', 'Chr6', 'Chr7', 'Chr8', 'Chr9', 'Chr10', 'Chr11', 'Chr12', 'Chr13', 'Chr14', 'Chr15', 'Chr16', 'Chr17', 'Chr18', 'Chr19', 'Chr20', 'Chr21', 'Chr22']
	autosomal copy number: 2
	sex chromosomes: ['ChrX', 'ChrY']
block 1: random events
	deletion on segments [58+], from Chr15a to Chr15a	(del,57.1,59.1)
	right duplication inversion on segments [41+], from Chr11a to Chr11a	(ins,41.2)
	balanced reciprocal translocation on segments [23+], from Chr8a to Chr2a	(del,22.1,24.1)(ins,23.1)
	balanced reciprocal translocation on segments [6+], from Chr2a to Chr8a	(del,5.1,7.1)(ins,6.1)
	balanced reciprocal translocation on segments [45+], from Chr12a to Chr11a	(del,44.1,46.1)(ins,45.1)
	balanced reciprocal translocation on segments [36+], from Chr11a to Chr12a	(del,35.1,37.1)(ins,36.1)
	tandem duplication on segments [49+], from Chr12a to Chr12a	(ins,49.2)
	inversion on segments [38+], from Chr11a to Chr11a	(inv,38.1)
	arm deletion on segments [10+], from Chr3b to Chr3b	(del,CEN,T2)
	balanced reciprocal translocation on segments [27+], from Chr9b to Chr9b	-
	balanced reciprocal translocation on segments [29+], from Chr9b to Chr9b	(del,28.1,30.1)(ins,29.1)
	nonreciprocal translocation on segments [4+], from Chr2a to Chr10a	(del,3.1,5.1)(ins,4.1)
	arm deletion on segments [65+], from Chr18b to Chr18b	(del,CEN,T2)
	nonreciprocal translocation on segments [21+], from Chr8a to Chr14a	(del,20.1,22.1)(ins,21.1)
