index	origin	start	end
1	Chr1	10000	122026459
CEN1	Chr1	122026460	125184587
2	Chr1	125184588	179214978
3	Chr1	179214979	188083874
4	Chr1	188083875	248946421
5	Chr2	10000	57868866
6	Chr2	57868867	67616847
7	Chr2	67616848	92188145
CEN2	Chr2	92188146	94090557
8	Chr2	94090558	242183528
9	Chr3	10000	90772458
CEN3	Chr3	90772459	93655574
10	Chr3	93655575	146183369
11	Chr3	146183370	153540022
12	Chr3	153540023	190878906
13	Chr3	190878907	198235558
14	Chr4	10000	49708100
CEN4	Chr4	49708101	51743951
15	Chr4	51743952	190204554
16	Chr5	10000	46485900
CEN5	Chr5	46485901	50059807
17	Chr5	50059808	181478258
18	Chr6	60000	58553888
CEN6	Chr6	58553889	59829934
19	Chr6	59829935	170745978
20	Chr7	10000	24591003
21	Chr7	24591004	29849562
22	Chr7	29849563	58169653
CEN7	Chr7	58169654	60828234
23	Chr7	60828235	159335972
24	Chr8	60000	22654267
25	Chr8	22654268	29120985
26	Chr8	29120986	44033744
CEN8	Chr8	44033745	45877265
27	Chr8	45877266	145078635
28	Chr9	10000	43236167
CEN9	Chr9	43236168	45518558
29	Chr9	45518559	112286222
30	Chr9	112286223	117902010
31	Chr9	117902011	138334716
32	Chr10	10000	39686682
CEN10	Chr10	39686683	41593521
33	Chr10	41593522	133787421
34	Chr11	60000	40946590
35	Chr11	40946591	44837564
36	Chr11	44837565	51078348
CEN11	Chr11	51078349	54425074
37	Chr11	54425075	90785807
38	Chr11	90785808	93858338
39	Chr11	93858339	132004091
40	Chr11	132004092	135076621
41	Chr12	10000	34769407
CEN12	Chr12	34769408	37185252
42	Chr12	37185253	133265308
43	Chr13	16000000	16000000
CEN13	Chr13	16000001	18051248
44	Chr13	18051249	114354327
45	Chr14	16000000	16000000
CEN14	Chr14	16000001	18173523
46	Chr14	18173524	33313636
47	Chr14	33313637	41460540
48	Chr14	41460541	98736814
49	Chr14	98736815	106883717
50	Chr15	17000000	17000000
CEN15	Chr15	17000001	19725254
51	Chr15	19725255	101981188
52	Chr16	10000	36311158
CEN16	Chr16	36311159	38280682
53	Chr16	38280683	90228344
54	Chr17	60000	14254597
55	Chr17	14254598	15627589
56	Chr17	15627590	22813679
CEN17	Chr17	22813680	26885980
57	Chr17	26885981	83247440
58	Chr18	10000	15460899
CEN18	Chr18	15460900	20861206
59	Chr18	20861207	80263284
60	Chr19	60000	24498980
CEN19	Chr19	24498981	27190874
61	Chr19	27190875	58607615
62	Chr20	60000	26436232
CEN20	Chr20	26436233	30038348
63	Chr20	30038349	64334166
64	Chr21	5010000	10864560
CEN21	Chr21	10864561	12915808
65	Chr21	12915809	46699982
66	Chr22	10510000	12954788
CEN22	Chr22	12954789	15054318
67	Chr22	15054319	29943282
68	Chr22	29943283	35345720
69	Chr22	35345721	50808467
70	ChrX	10000	58605579
CENX	ChrX	58605580	62412542
71	ChrX	62412543	156030894
72	ChrY	10000	10316944
CENY	ChrY	10316945	10544039
73	ChrY	10544040	57217414
---
chromosome	KT	telo1_len	telo2_len
Chr1a	1+,CEN1+,2+,30+,4+	10000	10000
Chr1b	1+,CEN1+,2+,3+,4+	10000	10000
Chr2a	5+,6-,7+,CEN2+,8+	10000	10000
Chr2b	deleted	0	0
Chr3a	9+,CEN3+,10+,11+,12+,13+	10000	60000
Chr3b	9+,CEN3+,10+,11+,12+	10000	60000
Chr4a	14+,CEN4+,15+	10000	10000
Chr4b	14+,CEN4+,15+	10000	10000
Chr5a	16+,CEN5+,17+	10000	60000
Chr5b	16+,CEN5+,17+	10000	60000
Chr6a	18+,CEN6+,19+	60000	60000
Chr6b	18+,CEN6+,19+	60000	60000
Chr7a	20+,21+,21+,22+,CEN7+,23+	10000	10000
Chr7b	20+,21+,22+,CEN7+,23+	10000	10000
Chr8a	24+,25+,26+,CEN8+,27+	60000	60000
Chr8b	24+,25-,26+,CEN8+,27+	60000	60000
Chr9a	28+,CEN9+,29+,3+,31+	10000	60000
Chr9b	28+,CEN9+,29+,30+,31+	10000	60000
Chr10a	32+,CEN10+,33+	10000	10000
Chr10b	32+,CEN10+,33+	10000	10000
Chr11a	34+,36+,CEN11+,37+,38+,39+,40-,40+	60000	10000
Chr11b	34+,35+,36+,CEN11+,37+,38+,39+,40+	60000	10000
Chr12a	41+,CEN12+,42+	10000	10000
Chr12b	41+,CEN12+,42+	10000	10000
Chr13a	43+,CEN13+,44+	16000000	10000
Chr13b	43+,CEN13+,44+	16000000	10000
Chr14a	45+,CEN14+,46+,47+,48+,49+	16000000	160000
Chr14b	45+,CEN14+,46+,47+,48+,49+,49-	16000000	160000
Chr15a	50+,CEN15+,51+	17000000	10000
Chr15b	50+,CEN15+,51+	17000000	10000
Chr16a	52+,CEN16+,53+	10000	110000
Chr16b	52+,CEN16+,53+	10000	110000
Chr17a	54+,55+,55+,56+,CEN17+,57+	60000	10000
Chr17b	54+,55+,56+,CEN17+,57+	60000	10000
Chr18a	58+,CEN18+,59+	10000	110000
Chr18b	58+,CEN18+,59+	10000	110000
Chr19a	60+,CEN19+,61+	60000	10000
Chr19b	60+,CEN19+,61+	60000	10000
Chr20a	62+,CEN20+,63+	60000	110000
Chr20b	62+,CEN20+,63+	60000	110000
Chr21a	64+,CEN21+,65+	5010000	10000
Chr21b	64+,CEN21+,65+	5010000	10000
Chr22a	66+,CEN22+,67+,68+,69+	10510000	10000
Chr22b	66+,CEN22+,67+,68+,68-,69+	10510000	10000
ChrXa	70+,CENX+,71+	10000	10000
ChrYa	72+,CENY+,73+	10000	10000
---
initialization
	autosomes: ['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr5', 'Chr6', 'Chr7', 'Chr8', 'Chr9', 'Chr10', 'Chr11', 'Chr12', 'Chr13', 'Chr14', 'Chr15', 'Chr16', 'Chr17', 'Chr18', 'Chr19', 'Chr20', 'Chr21', 'Chr22']
	autosomal copy number: 2
	sex chromosomes: ['ChrX', 'ChrY']
block 1: random events
	duplication on segments [55+], from Chr17a to Chr17a	(ins,55.2)
	chromosomal deletion on segments [5+,6+,7+,CEN2+,8+], from Chr2b to Chr2b	-
	balanced reciprocal translocation on segments [3+], from Chr1a to Chr9a	(del,2.1,4.1)(ins,3.1)
	balanced reciprocal translocation on segments [30+], from Chr9a to Chr1a	(del,29.1,31.1)(ins,30.1)
	right duplication inversion on segments [68+], from Chr22b to Chr22b	(ins,68.2)
	right duplication inversion on segments [49+], from Chr14b to Chr14b	(ins,49.2)
	tandem duplication on segments [21+], from Chr7a to Chr7a	(ins,21.2)
	deletion on segments [35+], from Chr11a to Chr11a	(del,34.1,36.1)
	inversion on segments [25+], from Chr8b to Chr8b	(inv,25.1)
	left duplication inversion on segments [40+], from Chr11a to Chr11a	(ins,40.1)
	deletion on segments [13+], from Chr3b to Chr3b	(del,12.1,T2)
	inversion on segments [6+], from Chr2a to Chr2a	(inv,6.1)
