index	origin	start	end
1	Chr1	10000	930693
2	Chr1	930694	108841272
3	Chr1	108841273	109761966
4	Chr1	109761967	121535434
CEN1	Chr1	121535435	124535433
5	Chr1	124535434	177722945
6	Chr1	177722946	178336926
7	Chr1	178336927	248626641
8	Chr1	248626642	249240621
9	Chr2	10000	92326171
CEN2	Chr2	92326172	95326170
10	Chr2	95326171	228521194
11	Chr2	228521195	230149598
12	Chr2	230149599	241560970
13	Chr2	241560971	243189373
14	Chr3	10000	90504854
CEN3	Chr3	90504855	93504853
15	Chr3	93504854	142525683
16	Chr3	142525684	144141370
17	Chr3	144141371	163585157
18	Chr3	163585158	163830995
19	Chr3	163830996	196396744
20	Chr3	196396745	197766593
21	Chr3	197766594	198012430
22	Chr4	10000	49660117
CEN4	Chr4	49660118	52660116
23	Chr4	52660117	191144276
24	Chr5	10000	46405641
CEN5	Chr5	46405642	49405640
25	Chr5	49405641	98964705
26	Chr5	98964706	99550105
27	Chr5	99550106	180319861
28	Chr5	180319862	180905260
29	Chr6	10000	58830166
CEN6	Chr6	58830167	61830165
30	Chr6	61830166	171105067
31	Chr7	10000	58054331
CEN7	Chr7	58054332	61054330
32	Chr7	61054331	159128663
33	Chr8	10000	43838887
CEN8	Chr8	43838888	46838886
34	Chr8	46838887	102573412
35	Chr8	102573413	105105378
36	Chr8	105105379	121099904
37	Chr8	121099905	125761003
38	Chr8	125761004	143822057
39	Chr8	143822058	144224889
40	Chr8	144224890	146354022
41	Chr9	10000	47367679
CEN9	Chr9	47367680	50367678
42	Chr9	50367679	141203431
43	Chr10	10000	39254935
CEN10	Chr10	39254936	42254934
44	Chr10	42254935	135524747
45	Chr11	10000	51644205
CEN11	Chr11	51644206	54644204
46	Chr11	54644205	55649475
47	Chr11	55649476	57625869
48	Chr11	57625870	133020123
49	Chr11	133020124	134996516
50	Chr12	10000	34856694
CEN12	Chr12	34856695	37856693
51	Chr12	37856694	133841895
52	Chr13	16000000	16000000
CEN13	Chr13	16000001	18999999
53	Chr13	19000000	115159878
54	Chr14	16000000	16000000
CEN14	Chr14	16000001	18999999
55	Chr14	19000000	107339540
56	Chr15	17000000	17000000
CEN15	Chr15	17000001	19999999
57	Chr15	20000000	102521392
58	Chr16	10000	35335801
CEN16	Chr16	35335802	38335800
59	Chr16	38335801	90344753
60	Chr17	10000	22263006
CEN17	Chr17	22263007	25263005
61	Chr17	25263006	81185210
62	Chr18	10000	15460898
CEN18	Chr18	15460899	18460897
63	Chr18	18460898	78067248
64	Chr19	10000	24681782
CEN19	Chr19	24681783	27681781
65	Chr19	27681782	59118983
66	Chr20	10000	26369569
CEN20	Chr20	26369570	29369568
