index	origin	start	end
1	Chr1	10000	122026459
CEN1	Chr1	122026460	125184587
2	Chr1	125184588	248946421
3	Chr2	10000	59058560
4	Chr2	59058561	61592680
5	Chr2	61592681	92188145
CEN2	Chr2	92188146	94090557
6	Chr2	94090558	242183528
7	Chr3	10000	90772458
CEN3	Chr3	90772459	93655574
8	Chr3	93655575	198235558
9	Chr4	10000	49708100
CEN4	Chr4	49708101	51743951
10	Chr4	51743952	190204554
11	Chr5	10000	46485900
CEN5	Chr5	46485901	50059807
12	Chr5	50059808	181478258
13	Chr6	60000	58553888
CEN6	Chr6	58553889	59829934
14	Chr6	59829935	170745978
15	Chr7	10000	58169653
CEN7	Chr7	58169654	60828234
16	Chr7	60828235	159335972
17	Chr8	60000	44033744
CEN8	Chr8	44033745	45877265
18	Chr8	45877266	145078635
19	Chr9	10000	43236167
CEN9	Chr9	43236168	45518558
20	Chr9	45518559	138334716
21	Chr10	10000	39686682
CEN10	Chr10	39686683	41593521
22	Chr10	41593522	133787421
23	Chr11	60000	51078348
CEN11	Chr11	51078349	54425074
24	Chr11	54425075	135076621
25	Chr12	10000	34769407
CEN12	Chr12	34769408	37185252
26	Chr12	37185253	133265308
27	Chr13	16000000	16000000
CEN13	Chr13	16000001	18051248
28	Chr13	18051249	114354327
29	Chr14	16000000	16000000
CEN14	Chr14	16000001	18173523
30	Chr14	18173524	106883717
31	Chr15	17000000	17000000
CEN15	Chr15	17000001	19725254
32	Chr15	19725255	101981188
33	Chr16	10000	36311158
CEN16	Chr16	36311159	38280682
34	Chr16	38280683	90228344
35	Chr17	60000	22813679
CEN17	Chr17	22813680	26885980
36	Chr17	26885981	83247440
37	Chr18	10000	15460899
CEN18	Chr18	15460900	20861206
38	Chr18	20861207	80263284
39	Chr19	60000	24498980
CEN19	Chr19	24498981	27190874
40	Chr19	27190875	58607615
41	Chr20	60000	26436232
CEN20	Chr20	26436233	30038348
42	Chr20	30038349	64334166
43	Chr21	5010000	10864560
CEN21	Chr21	10864561	12915808
44	Chr21	12915809	46699982
45	Chr22	10510000	12954788
CEN22	Chr22	12954789	15054318
46	Chr22	15054319	50808467
47	ChrY	10000	10316944
CENY	ChrY	10316945	10544039
48	ChrY	10544040	57217414
---
chromosome	KT	telo1_len	telo2_len
Chr1a	1+,CEN1+,2+	10000	10000
Chr2a	3+,5+,CEN2+,6+	10000	10000
Chr3a	7+,CEN3+,8+	10000	60000
Chr4a	9+,CEN4+,10+	10000	10000
Chr5a	11+,CEN5+,12+	10000	60000
Chr6a	13+,CEN6+,14+	60000	60000
Chr7a	15+,CEN7+,16+	10000	10000
Chr8a	17+,CEN8+,18+	60000	60000
Chr9a	19+,CEN9+,20+	10000	60000
Chr10a	21+,CEN10+,22+	10000	10000
Chr11a	23+,CEN11+,24+	60000	10000
Chr12a	25+,CEN12+,26+	10000	10000
Chr13a	27+,CEN13+,28+	16000000	10000
Chr14a	29+,CEN14+,30+	16000000	160000
Chr15a	31+,CEN15+,32+	17000000	10000
Chr16a	33+,CEN16+,34+	10000	110000
Chr17a	35+,CEN17+,36+	60000	10000
Chr18a	37+,CEN18+,38+	10000	110000
Chr19a	39+,CEN19+,40+	60000	10000
Chr20a	41+,CEN20+,42+	60000	110000
Chr21a	43+,CEN21+,44+	5010000	10000
Chr22a	45+,CEN22+,46+	10510000	10000
ChrYa	47+,CENY+,48+	10000	10000
---
initialization
	autosomes: ['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr5', 'Chr6', 'Chr7', 'Chr8', 'Chr9', 'Chr10', 'Chr11', 'Chr12', 'Chr13', 'Chr14', 'Chr15', 'Chr16', 'Chr17', 'Chr18', 'Chr19', 'Chr20', 'Chr21', 'Chr22']
	autosomal copy number: 1
	sex chromosomes: ['ChrY']
block 1: 2p15-16.1_microdeletion
	deletion on segments [4+], from Chr2a to Chr2a
