index	origin	start	end
1	Chr1	10000	122026459
CEN1	Chr1	122026460	125184587
2	Chr1	125184588	248946421
3	Chr2	10000	92188145
CEN2	Chr2	92188146	94090557
4	Chr2	94090558	242183528
5	Chr3	10000	90772458
CEN3	Chr3	90772459	93655574
6	Chr3	93655575	198235558
7	Chr4	10000	49708100
CEN4	Chr4	49708101	51743951
8	Chr4	51743952	190204554
9	Chr5	10000	46485900
CEN5	Chr5	46485901	50059807
10	Chr5	50059808	181478258
11	Chr6	60000	58553888
CEN6	Chr6	58553889	59829934
12	Chr6	59829935	170745978
13	Chr7	10000	58169653
CEN7	Chr7	58169654	60828234
14	Chr7	60828235	159335972
15	Chr8	60000	44033744
CEN8	Chr8	44033745	45877265
16	Chr8	45877266	145078635
17	Chr9	10000	43236167
CEN9	Chr9	43236168	45518558
18	Chr9	45518559	138334716
19	Chr10	10000	39686682
CEN10	Chr10	39686683	41593521
20	Chr10	41593522	133787421
21	Chr11	60000	51078348
CEN11	Chr11	51078349	54425074
22	Chr11	54425075	135076621
23	Chr12	10000	34769407
CEN12	Chr12	34769408	37185252
24	Chr12	37185253	64678138
25	Chr12	64678139	68251745
26	Chr12	68251746	133265308
27	Chr13	16000000	16000000
CEN13	Chr13	16000001	18051248
28	Chr13	18051249	114354327
29	Chr14	16000000	16000000
CEN14	Chr14	16000001	18173523
30	Chr14	18173524	106883717
31	Chr15	17000000	17000000
CEN15	Chr15	17000001	19725254
32	Chr15	19725255	101981188
33	Chr16	10000	36311158
CEN16	Chr16	36311159	38280682
34	Chr16	38280683	90228344
35	Chr17	60000	22813679
CEN17	Chr17	22813680	26885980
36	Chr17	26885981	83247440
37	Chr18	10000	15460899
CEN18	Chr18	15460900	20861206
38	Chr18	20861207	80263284
39	Chr19	60000	24498980
CEN19	Chr19	24498981	27190874
40	Chr19	27190875	58607615
41	Chr20	60000	26436232
CEN20	Chr20	26436233	30038348
42	Chr20	30038349	64334166
43	Chr21	5010000	10864560
CEN21	Chr21	10864561	12915808
44	Chr21	12915809	46699982
45	Chr22	10510000	12954788
CEN22	Chr22	12954789	15054318
46	Chr22	15054319	50808467
47	ChrX	10000	58605579
CENX	ChrX	58605580	62412542
48	ChrX	62412543	156030894
49	ChrY	10000	10316944
CENY	ChrY	10316945	10544039
50	ChrY	10544040	57217414
---
chromosome	KT	telo1_len	telo2_len
Chr1a	1+,CEN1+,2+	10000	10000
Chr1b	1+,CEN1+,2+	10000	10000
Chr2a	3+,CEN2+,4+	10000	10000
Chr2b	3+,CEN2+,4+	10000	10000
Chr3a	5+,CEN3+,6+	10000	60000
Chr3b	5+,CEN3+,6+	10000	60000
Chr4a	7+,CEN4+,8+	10000	10000
Chr4b	7+,CEN4+,8+	10000	10000
Chr5a	9+,CEN5+,10+	10000	60000
Chr5b	9+,CEN5+,10+	10000	60000
Chr6a	11+,CEN6+,12+	60000	60000
Chr6b	11+,CEN6+,12+	60000	60000
Chr7a	13+,CEN7+,14+	10000	10000
Chr7b	13+,CEN7+,14+	10000	10000
Chr8a	15+,CEN8+,16+	60000	60000
Chr8b	15+,CEN8+,16+	60000	60000
Chr9a	17+,CEN9+,18+	10000	60000
Chr9b	17+,CEN9+,18+	10000	60000
Chr10a	19+,CEN10+,20+	10000	10000
Chr10b	19+,CEN10+,20+	10000	10000
Chr11a	21+,CEN11+,22+	60000	10000
Chr11b	21+,CEN11+,22+	60000	10000
Chr12a	23+,CEN12+,24+,26+	10000	10000
Chr12b	23+,CEN12+,24+,25+,26+	10000	10000
Chr13a	27+,CEN13+,28+	16000000	10000
Chr13b	27+,CEN13+,28+	16000000	10000
Chr14a	29+,CEN14+,30+	16000000	160000
Chr14b	29+,CEN14+,30+	16000000	160000
Chr15a	31+,CEN15+,32+	17000000	10000
Chr15b	31+,CEN15+,32+	17000000	10000
Chr16a	33+,CEN16+,34+	10000	110000
Chr16b	33+,CEN16+,34+	10000	110000
Chr17a	35+,CEN17+,36+	60000	10000
Chr17b	35+,CEN17+,36+	60000	10000
Chr18a	37+,CEN18+,38+	10000	110000
Chr18b	37+,CEN18+,38+	10000	110000
Chr19a	39+,CEN19+,40+	60000	10000
Chr19b	39+,CEN19+,40+	60000	10000
Chr20a	41+,CEN20+,42+	60000	110000
Chr20b	41+,CEN20+,42+	60000	110000
Chr21a	43+,CEN21+,44+	5010000	10000
Chr21b	43+,CEN21+,44+	5010000	10000
Chr22a	45+,CEN22+,46+	10510000	10000
Chr22b	45+,CEN22+,46+	10510000	10000
ChrXa	47+,CENX+,48+	10000	10000
ChrYa	49+,CENY+,50+	10000	10000
---
initialization
	autosomes: ['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr5', 'Chr6', 'Chr7', 'Chr8', 'Chr9', 'Chr10', 'Chr11', 'Chr12', 'Chr13', 'Chr14', 'Chr15', 'Chr16', 'Chr17', 'Chr18', 'Chr19', 'Chr20', 'Chr21', 'Chr22']
	autosomal copy number: 2
	sex chromosomes: ['ChrX', 'ChrY']
block 1: 12q14_microdeletion
	deletion on segments [25+], from Chr12a to Chr12a
