index	origin	start	end
1	Chr1	10000	121535434
CEN1	Chr1	121535435	124535433
2	Chr1	124535434	249240621
3	Chr2	10000	92326171
CEN2	Chr2	92326172	95326170
4	Chr2	95326171	243189373
5	Chr3	10000	90504854
CEN3	Chr3	90504855	93504853
6	Chr3	93504854	198012430
7	Chr4	10000	49660117
CEN4	Chr4	49660118	52660116
8	Chr4	52660117	191144276
9	Chr5	10000	46405641
CEN5	Chr5	46405642	49405640
10	Chr5	49405641	180905260
11	Chr6	10000	58830166
CEN6	Chr6	58830167	61830165
12	Chr6	61830166	171105067
13	Chr7	10000	58054331
CEN7	Chr7	58054332	61054330
14	Chr7	61054331	159128663
15	Chr8	10000	43838887
CEN8	Chr8	43838888	46838886
16	Chr8	46838887	146354022
17	Chr9	10000	47367679
CEN9	Chr9	47367680	50367678
18	Chr9	50367679	141203431
19	Chr10	10000	39254935
CEN10	Chr10	39254936	42254934
20	Chr10	42254935	135524747
21	Chr11	10000	51644205
CEN11	Chr11	51644206	54644204
22	Chr11	54644205	134996516
23	Chr12	10000	34856694
CEN12	Chr12	34856695	37856693
24	Chr12	37856694	133841895
25	Chr13	16000000	16000000
CEN13	Chr13	16000001	18999999
26	Chr13	19000000	115159878
27	Chr14	16000000	16000000
CEN14	Chr14	16000001	18999999
28	Chr14	19000000	107339540
29	Chr15	17000000	17000000
CEN15	Chr15	17000001	19999999
30	Chr15	20000000	102521392
31	Chr16	10000	35335801
CEN16	Chr16	35335802	38335800
32	Chr16	38335801	90344753
33	Chr17	10000	22263006
CEN17	Chr17	22263007	25263005
34	Chr17	25263006	81185210
35	Chr18	10000	15460898
CEN18	Chr18	15460899	18460897
36	Chr18	18460898	78067248
37	Chr19	10000	24681782
CEN19	Chr19	24681783	27681781
38	Chr19	27681782	59118983
39	Chr20	10000	26369569
CEN20	Chr20	26369570	29369568
40	Chr20	29369569	63015520
41	Chr21	5211193	11288129
CEN21	Chr21	11288130	14288128
42	Chr21	14288129	48119895
43	Chr22	13000000	13000000
CEN22	Chr22	13000001	15999999
44	Chr22	16000000	51294566
45	ChrX	10000	58632012
CENX	ChrX	58632013	61632011
46	ChrX	61632012	155260560
47	ChrY	10000	10104553
CENY	ChrY	10104554	13104552
48	ChrY	13104553	59363566
---
chromosome	KT	telo1_len	telo2_len
Chr1a	1+,CEN1+,2+	10000	10000
Chr1b	1+,CEN1+,2+	10000	10000
Chr2a	3+,CEN2+,4+	10000	10000
Chr2b	3+,CEN2+,4+	10000	10000
Chr3a	5+,CEN3+,6+	10000	10000
Chr3b	5+,CEN3+,6+	10000	10000
Chr4a	7+,CEN4+,8+	10000	10000
Chr4b	7+,CEN4+,8+	10000	10000
Chr5a	9+,CEN5+,10+	10000	10000
Chr5b	9+,CEN5+,10+	10000	10000
Chr6a	11+,CEN6+,12+	10000	10000
Chr6b	11+,CEN6+,12+	10000	10000
Chr7a	13+,CEN7+,14+	10000	10000
Chr7b	13+,CEN7+,14+	10000	10000
Chr8a	15+,CEN8+,16+	10000	10000
Chr8b	15+,CEN8+,16+	10000	10000
Chr9a	17+,CEN9+,18+	10000	10000
Chr9b	17+,CEN9+,18+	10000	10000
Chr10a	19+,CEN10+,20+	10000	10000
Chr10b	19+,CEN10+,20+	10000	10000
Chr11a	21+,CEN11+,22+	10000	10000
Chr11b	21+,CEN11+,22+	10000	10000
Chr12a	23+,CEN12+,24+	10000	10000
Chr12b	23+,CEN12+,24+	10000	10000
Chr13a	25+,CEN13+,26+	16000000	10000
Chr13b	25+,CEN13+,26+	16000000	10000
Chr14a	27+,CEN14+,28+	16000000	10000
Chr14b	27+,CEN14+,28+	16000000	10000
Chr15a	29+,CEN15+,30+	17000000	10000
Chr15b	29+,CEN15+,30+	17000000	10000
Chr16a	31+,CEN16+,32+	10000	10000
Chr16b	31+,CEN16+,32+	10000	10000
Chr17a	33+,CEN17+,34+	10000	10000
Chr17b	33+,CEN17+,34+	10000	10000
Chr18a	35+,CEN18+,36+	10000	10000
Chr18b	35+,CEN18+,36+	10000	10000
Chr19a	37+,CEN19+,38+	10000	10000
Chr19b	37+,CEN19+,38+	10000	10000
Chr20a	39+,CEN20+,40+	10000	10000
Chr20b	39+,CEN20+,40+	10000	10000
Chr21a	41+,CEN21+,42+	5211193	10000
Chr21b	41+,CEN21+,42+	5211193	10000
Chr22a	43+,CEN22+,44+	13000000	10000
Chr22b	43+,CEN22+,44+	13000000	10000
ChrXa	45+,CENX+,46+	10000	10000
ChrYa	47+,CENY+,48+	10000	10000
---
initialization
	autosomes: ['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr5', 'Chr6', 'Chr7', 'Chr8', 'Chr9', 'Chr10', 'Chr11', 'Chr12', 'Chr13', 'Chr14', 'Chr15', 'Chr16', 'Chr17', 'Chr18', 'Chr19', 'Chr20', 'Chr21', 'Chr22']
	autosomal copy number: 2
	sex chromosomes: ['ChrX', 'ChrY']
