index	origin	start	end
1	Chr1	10000	5920723
2	Chr1	5920724	5920724
3	Chr1	5920725	122026459
CEN1	Chr1	122026460	125184587
4	Chr1	125184588	223803157
5	Chr1	223803158	223803158
6	Chr1	223803159	237100733
7	Chr1	237100734	240106737
8	Chr1	240106738	248946421
9	Chr2	10000	76257527
10	Chr2	76257528	86058356
11	Chr2	86058357	92188145
CEN2	Chr2	92188146	94090557
12	Chr2	94090558	181835747
13	Chr2	181835748	188761251
14	Chr2	188761252	242183528
15	Chr3	10000	27768621
16	Chr3	27768622	34894371
17	Chr3	34894372	77901941
18	Chr3	77901942	84797212
19	Chr3	84797213	90772458
CEN3	Chr3	90772459	93655574
20	Chr3	93655575	103323162
21	Chr3	103323163	106647251
22	Chr3	106647252	198235558
23	Chr4	10000	36761735
24	Chr4	36761736	43283949
25	Chr4	43283950	49708100
CEN4	Chr4	49708101	51743951
26	Chr4	51743952	170652331
27	Chr4	170652332	177327388
28	Chr4	177327389	190204554
29	Chr5	10000	46485900
CEN5	Chr5	46485901	50059807
30	Chr5	50059808	181478258
31	Chr6	60000	58553888
CEN6	Chr6	58553889	59829934
32	Chr6	59829935	92239598
33	Chr6	92239599	99424982
34	Chr6	99424983	170745978
35	Chr7	10000	16854211
36	Chr7	16854212	19912571
37	Chr7	19912572	58169653
CEN7	Chr7	58169654	60828234
38	Chr7	60828235	159335972
39	Chr8	60000	44033744
CEN8	Chr8	44033745	45877265
40	Chr8	45877266	113830703
41	Chr8	113830704	122843583
42	Chr8	122843584	145078635
43	Chr9	10000	43236167
CEN9	Chr9	43236168	45518558
44	Chr9	45518559	106284510
45	Chr9	106284511	111169902
46	Chr9	111169903	138334716
47	Chr10	10000	39686682
CEN10	Chr10	39686683	41593521
48	Chr10	41593522	74003773
49	Chr10	74003774	74003774
50	Chr10	74003775	133787421
51	Chr11	60000	51078348
CEN11	Chr11	51078349	54425074
52	Chr11	54425075	135076621
53	Chr12	10000	34769407
CEN12	Chr12	34769408	37185252
54	Chr12	37185253	133265308
55	Chr13	16000000	16000000
CEN13	Chr13	16000001	18051248
56	Chr13	18051249	114354327
57	Chr14	16000000	16000000
CEN14	Chr14	16000001	18173523
58	Chr14	18173524	106883717
59	Chr15	17000000	17000000
CEN15	Chr15	17000001	19725254
60	Chr15	19725255	101981188
61	Chr16	10000	36311158
CEN16	Chr16	36311159	38280682
62	Chr16	38280683	90228344
63	Chr17	60000	22813679
CEN17	Chr17	22813680	26885980
64	Chr17	26885981	30780078
65	Chr17	30780079	31936302
66	Chr17	31936303	83247440
67	Chr18	10000	6370655
68	Chr18	6370656	13065442
69	Chr18	13065443	15460899
CEN18	Chr18	15460900	20861206
70	Chr18	20861207	25161863
71	Chr18	25161864	32306816
72	Chr18	32306817	80263284
73	Chr19	60000	24498980
CEN19	Chr19	24498981	27190874
74	Chr19	27190875	58607615
75	Chr20	60000	26436232
CEN20	Chr20	26436233	30038348
76	Chr20	30038349	64334166
77	Chr21	5010000	10864560
CEN21	Chr21	10864561	12915808
78	Chr21	12915809	46699982
79	Chr22	10510000	12954788
CEN22	Chr22	12954789	15054318
80	Chr22	15054319	50808467
81	ChrX	10000	58605579
CENX	ChrX	58605580	62412542
82	ChrX	62412543	156030894
---
chromosome	KT	telo1_len	telo2_len
Chr1a	1+,71+,2+,3+,CEN1+,4+,33+,5+,6+,36+,8+	10000	10000
Chr1b	1+,2+,3+,CEN1+,4+,5+,6+,7+,8+	10000	10000
Chr2a	9+,13+,11+,CEN2+,12+,13+,14+	10000	10000
Chr2b	9+,10+,11+,CEN2+,12+,10+,14+	10000	10000
Chr3a	15+,16-,16+,17+,21+,19+,CEN3+,20+,18+,22+	10000	60000
Chr3b	15+,16+,17+,18+,19+,CEN3+,20+,21+,22+	10000	60000
Chr4a	23+,27+,25+,CEN4+,26+,24+,28+	10000	10000
Chr4b	23+,24+,25+,CEN4+,26+,27+,28+	10000	10000
Chr5a	29+,CEN5+,30+	10000	60000
Chr5b	29+,CEN5+,30+	10000	60000
Chr6a	31+,CEN6+,32+,34+	60000	60000
Chr6b	31+,CEN6+,32+,33+,34+	60000	60000
Chr7a	35+,7+,37+,CEN7+,38+	10000	10000
Chr7b	35+,36+,37+,CEN7+,38+	10000	10000
Chr8a	39+,CEN8+,40+,41+,42+	60000	60000
Chr8b	39+,CEN8+,40+,41+,41+,42+	60000	60000
Chr9a	43+,CEN9+,44+,46+	10000	60000
Chr9b	43+,CEN9+,44+,45+,46+	10000	60000
Chr10a	47+,CEN10+,48+,49+,50+	10000	10000
Chr10b	47+,CEN10+,48+,45+,49+,50+	10000	10000
Chr11a	51+,CEN11+,52+	60000	10000
Chr11b	51+,CEN11+,52+	60000	10000
Chr12a	53+,CEN12+,54+	10000	10000
Chr12b	53+,CEN12+,54+	10000	10000
Chr13a	55+,CEN13+,56+	16000000	10000
Chr13b	55+,CEN13+,56+	16000000	10000
Chr14a	57+,CEN14+,58+	16000000	160000
Chr14b	57+,CEN14+,58+	16000000	160000
Chr15a	59+,CEN15+,60+	17000000	10000
Chr15b	59+,CEN15+,60+	17000000	10000
Chr16a	61+,CEN16+,62+	10000	110000
Chr16b	61+,CEN16+,62+	10000	110000
Chr17a	63+,CEN17+,64+,66+	60000	10000
Chr17b	63+,CEN17+,64+,65+,66+	60000	10000
Chr18a	67+,68+,69+,CEN18+,70+,71+,72+	10000	110000
Chr18b	67+,69+,CEN18+,70+,72+	10000	110000
Chr19a	73+,CEN19+,74+	60000	10000
Chr19b	73+,CEN19+,74+	60000	10000
Chr20a	75+,CEN20+,76+	60000	110000
Chr20b	75+,CEN20+,76+	60000	110000
Chr21a	77+,CEN21+,78+	5010000	10000
Chr21b	77+,CEN21+,78+	5010000	10000
Chr22a	79+,CEN22+,80+	10510000	10000
Chr22b	79+,CEN22+,80+	10510000	10000
ChrXa	81+,CENX+,82+	10000	10000
ChrXb	81+,CENX+,82+	10000	10000
---
initialization
	autosomes: ['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr5', 'Chr6', 'Chr7', 'Chr8', 'Chr9', 'Chr10', 'Chr11', 'Chr12', 'Chr13', 'Chr14', 'Chr15', 'Chr16', 'Chr17', 'Chr18', 'Chr19', 'Chr20', 'Chr21', 'Chr22']
	autosomal copy number: 2
	sex chromosomes: ['ChrX', 'ChrX']
block 1: random events
	deletion on segments [65+], from Chr17a to Chr17a	(del,64.1,66.1)
	balanced reciprocal translocation on segments [36+], from Chr7a to Chr1a	(del,35.1,37.1)(ins,36.1)
	balanced reciprocal translocation on segments [7+], from Chr1a to Chr7a	(del,6.1,8.1)(ins,7.1)
