Segment	Number	Chromosome	Start	End	StartNode	EndNode
Segment	1	1	0	248943333	0	1
Segment	2	2	0.0	88863243.5	2	3
Segment	3	2	88863244.5	89954699.0	4	5
Segment	4	2	89954700.0	90018176.0	6	7
Segment	5	2	90018177.0	90162805.0	8	9
Segment	6	2	90162806.0	242181357.0	10	11
Segment	7	3	0	198230596	12	13
Segment	8	4	0	190202564	14	15
Segment	9	5	0	181472714	16	17
Segment	10	6	0	170739897	18	19
Segment	11	7	0.0	60889180.0	20	21
Segment	12	7	60889181.0	62029542.0	22	23
Segment	13	7	62029543.0	159334984.0	24	25
Segment	14	8	0.0	7380493.0	26	27
Segment	15	8	7380494.0	7539822.0	28	29
Segment	16	8	7539823.0	12388043.0	30	31
Segment	17	8	12388044.0	12606301.0	32	33
Segment	18	8	12606302.0	145076125.0	34	35
Segment	19	9	0.0	39822667.0	36	37
Segment	20	9	39822668.0	41293385.0	38	39
Segment	21	9	41293386.0	62812744.0	40	41
Segment	22	9	62812745.0	65657315.0	42	43
Segment	23	9	65657316.0	138334464.0	44	45
Segment	24	10	0.0	46991592.0	46	47
Segment	25	10	46991593.0	48060267.0	48	49
Segment	26	10	48060268.0	133785266.0	50	51
Segment	27	11	0	135069565	52	53
Segment	28	12	0	133263960	54	55
Segment	29	13	0	114352102	56	57
Segment	30	14	0	106873282	58	59
Segment	31	15	0.0	20425822.0	60	61
Segment	32	15	20425823.0	21771945.0	62	63
Segment	33	15	21771946.0	22305032.0	64	65
Segment	34	15	22305033.0	23303969.0	66	67
Segment	35	15	23303970.0	28321916.0	68	69
Segment	36	15	28321917.0	30766282.0	70	71
Segment	37	15	30766283.0	31639515.0	72	73
Segment	38	15	31639516.0	101976509.0	74	75
Segment	39	16	0.0	16303898.0	76	77
Segment	40	16	16303899.0	18490832.0	78	79
Segment	41	16	18490833.0	21505521.0	80	81
Segment	42	16	21505522.0	21557960.0	82	83
Segment	43	16	21557961.0	22433445.0	84	85
Segment	44	16	22433446.0	22694501.0	86	87
Segment	45	16	22694502.0	90224751.0	88	89
Segment	46	17	0.0	16814035.5	90	91
Segment	47	17	16814036.5	18492957.6	92	93
Segment	48	17	18492958.6	83246392.0	94	95
Segment	49	18	0	80256374	96	97
Segment	50	19	0	58605715	98	99
Segment	51	20	0.0	28568262.5	100	101
Segment	52	20	28568263.5	30837008.5	102	103
Segment	53	20	30837009.5	64333718.0	104	105
Segment	54	21	5015860.0	6215576.0	106	107
Segment	55	21	6215577.0	6291830.0	108	109
Segment	56	21	6291831.0	8100606.0	110	111
Segment	57	21	8100607.0	12282697.0	112	113
Segment	58	21	12406577.0	42603372.0	114	115
Segment	59	21	42608725.0	46179327.0	116	117
Segment	60	21	46198183	46696217	118	119
Segment	61	22	10516334.0	11361821.75	120	121
Segment	62	22	11361822.75	12641252.0	122	123
Segment	63	22	12641253.0	25294145.0	124	125
Segment	64	22	25295931.0	25515764.0	126	127
Segment	65	22	25522155	50804577	128	129
Segment	66	23	0	156025612	130	131
Segment	67	24	0	57212132	132	133
Path1 = 54+ 55+ 56+ 57+ 58+ 59+ 60+ 
Path2 = 60- 59- 58- 57- 56- 55- 57+ 58+ 59+ 60+ 
