index	origin	start	end
1	Chr1	10000	122026459
CEN1	Chr1	122026460	125184587
2	Chr1	125184588	228915391
3	Chr1	228915392	235968852
4	Chr1	235968853	248946421
5	Chr2	10000	92188145
CEN2	Chr2	92188146	94090557
6	Chr2	94090558	204885839
7	Chr2	204885840	210619240
8	Chr2	210619241	221706949
9	Chr2	221706950	227215437
10	Chr2	227215438	242183528
11	Chr3	10000	90772458
CEN3	Chr3	90772459	93655574
12	Chr3	93655575	198235558
13	Chr4	10000	49708100
CEN4	Chr4	49708101	51743951
14	Chr4	51743952	105152836
15	Chr4	105152837	108917482
16	Chr4	108917483	186439909
17	Chr4	186439910	190204554
18	Chr5	10000	46485900
CEN5	Chr5	46485901	50059807
19	Chr5	50059808	181478258
20	Chr6	60000	11853720
21	Chr6	11853721	20245825
22	Chr6	20245826	58553888
CEN6	Chr6	58553889	59829934
23	Chr6	59829935	170745978
24	Chr7	10000	58169653
CEN7	Chr7	58169654	60828234
25	Chr7	60828235	159335972
26	Chr8	60000	33476404
27	Chr8	33476405	36748651
28	Chr8	36748652	44033744
CEN8	Chr8	44033745	45877265
29	Chr8	45877266	145078635
30	Chr9	10000	43236167
CEN9	Chr9	43236168	45518558
31	Chr9	45518559	138334716
32	Chr10	10000	39686682
CEN10	Chr10	39686683	41593521
33	Chr10	41593522	133787421
34	Chr11	60000	19166521
35	Chr11	19166522	23850423
36	Chr11	23850424	51078348
CEN11	Chr11	51078349	54425074
37	Chr11	54425075	90745701
38	Chr11	90745702	90745702
39	Chr11	90745703	135076621
40	Chr12	10000	22630357
41	Chr12	22630358	25001254
42	Chr12	25001255	25001255
43	Chr12	25001256	28802544
44	Chr12	28802545	34769407
CEN12	Chr12	34769408	37185252
45	Chr12	37185253	64678138
46	Chr12	64678139	65319391
47	Chr12	65319392	68251745
48	Chr12	68251746	68813506
49	Chr12	68813507	74250787
50	Chr12	74250788	77289931
51	Chr12	77289932	81415884
52	Chr12	81415885	81508723
53	Chr12	81508724	133265308
54	Chr13	16000000	16000000
CEN13	Chr13	16000001	18051248
55	Chr13	18051249	41349880
56	Chr13	41349881	44848810
57	Chr13	44848811	114354327
58	Chr14	16000000	16000000
CEN14	Chr14	16000001	18173523
59	Chr14	18173524	106883717
60	Chr15	17000000	17000000
CEN15	Chr15	17000001	19725254
61	Chr15	19725255	89414768
62	Chr15	89414769	93960856
63	Chr15	93960857	101981188
64	Chr16	10000	36311158
CEN16	Chr16	36311159	38280682
65	Chr16	38280683	90228344
66	Chr17	60000	22813679
CEN17	Chr17	22813680	26885980
67	Chr17	26885981	83247440
68	Chr18	10000	15460899
CEN18	Chr18	15460900	20861206
69	Chr18	20861207	80263284
70	Chr19	60000	24498980
CEN19	Chr19	24498981	27190874
71	Chr19	27190875	58607615
72	Chr20	60000	21655385
73	Chr20	21655386	21655386
74	Chr20	21655387	26436232
CEN20	Chr20	26436233	30038348
75	Chr20	30038349	64334166
76	Chr21	5010000	10864560
CEN21	Chr21	10864561	12915808
77	Chr21	12915809	46699982
78	Chr22	10510000	12954788
CEN22	Chr22	12954789	15054318
79	Chr22	15054319	50808467
80	ChrX	10000	58605579
CENX	ChrX	58605580	62412542
81	ChrX	62412543	156030894
82	ChrY	10000	10316944
CENY	ChrY	10316945	10544039
83	ChrY	10544040	57217414
---
chromosome	KT	telo1_len	telo2_len
Chr1a	1+,CEN1+,2+,3+,4+	10000	10000
Chr1b	1+,CEN1+,2+,35+,4+	10000	10000
Chr2a	5+,CEN2+,6+,7+,8+,9+,10+	10000	10000
Chr2b	5+,CEN2+,6+,8+,10+	10000	10000
Chr3a	11+,CEN3+,12+	10000	60000
Chr3b	11+,CEN3+,12+	10000	60000
Chr4a	13+,CEN4+,14+,15+,16+,17+,17-	10000	10000
Chr4b	13+,CEN4+,14+,15+,16+,17+	10000	10000
Chr5a	18+,CEN5+,19+	10000	60000
Chr5b	18+,CEN5+,19+	10000	60000
Chr6a	20+,21-,22+,CEN6+,23+	60000	60000
Chr6b	20+,21+,22+,CEN6+,23+	60000	60000
Chr7a	24+,CEN7+,25+	10000	10000
Chr7b	24+,CEN7+,25+	10000	10000
Chr8a	26+,28+,CEN8+,29+	60000	60000
Chr8b	26+,27+,28+,CEN8+,29+	60000	60000
Chr9a	30+,CEN9+,31+	10000	60000
Chr9b	30+,CEN9+,31+	10000	60000
Chr10a	32+,CEN10+,33+	10000	10000
Chr10b	32+,CEN10+,33+	10000	10000
Chr11a	34+,3+,36+,CEN11+,37+,27+,38+,39+	60000	10000
Chr11b	34+,35+,36+,CEN11+,37+,38+,39+	60000	10000
Chr12a	40+,41+,42+,43+,44+,CEN12+,45+,48+,49+,50+,51+,52+,53+	10000	10000
Chr12b	40+,50+,47+,48+,52+,44+,CEN12+,45+,46+,51+,49+,41+,7+,42+,43+,53+	10000	10000
Chr13a	54+,CEN13+,55+,56-,57+	16000000	10000
Chr13b	54+,CEN13+,55+,56+,57+	16000000	10000
Chr14a	58+,CEN14+,59+	16000000	160000
Chr14b	58+,CEN14+,59+	16000000	160000
Chr15a	60+,CEN15+,61+,62+,62-,63+	17000000	10000
Chr15b	60+,CEN15+,61+,62+,63+	17000000	10000
Chr16a	64+,CEN16+,65+	10000	110000
Chr16b	64+,CEN16+,65+	10000	110000
Chr17a	66+,CEN17+,67+	60000	10000
Chr17b	66+,CEN17+,67+	60000	10000
Chr18a	68+,CEN18+,69+	10000	110000
Chr18b	68+,CEN18+,69+	10000	110000
Chr19a	70+,CEN19+,71+	60000	10000
Chr19b	70+,CEN19+,71+	60000	10000
Chr20a	72+,9+,73+,74+,CEN20+,75+	60000	110000
Chr20b	72+,73+,74+,CEN20+,75+	60000	110000
Chr21a	76+,CEN21+,77+	5010000	10000
Chr21b	76+,CEN21+,77+	5010000	10000
Chr22a	78+,CEN22+,79+	10510000	10000
Chr22b	78+,CEN22+,79+	10510000	10000
ChrXa	80+,CENX+,81+	10000	10000
ChrYa	82+,CENY+,83+	10000	10000
---
initialization
	autosomes: ['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr5', 'Chr6', 'Chr7', 'Chr8', 'Chr9', 'Chr10', 'Chr11', 'Chr12', 'Chr13', 'Chr14', 'Chr15', 'Chr16', 'Chr17', 'Chr18', 'Chr19', 'Chr20', 'Chr21', 'Chr22']
	autosomal copy number: 2
	sex chromosomes: ['ChrX', 'ChrY']
block 1: random events
	deletion on segments [46+,47+], from Chr12a to Chr12a
	right duplication inversion on segments [62+], from Chr15a to Chr15a
	nonreciprocal translocation on segments [27+], from Chr8a to Chr11a
	balanced reciprocal translocation on segments [51+], from Chr12b to Chr12b
	balanced reciprocal translocation on segments [47+,48+], from Chr12b to Chr12b
	balanced reciprocal translocation on segments [50+,47+,48+,52+], from Chr12b to Chr12b
	balanced reciprocal translocation on segments [41+,42+,43+], from Chr12b to Chr12b
	inversion on segments [56+], from Chr13a to Chr13a
	nonreciprocal translocation on segments [7+], from Chr2b to Chr12b
	inversion on segments [21+], from Chr6a to Chr6a
	balanced reciprocal translocation on segments [3+], from Chr1b to Chr11a
	balanced reciprocal translocation on segments [35+], from Chr11a to Chr1b
	right duplication inversion on segments [17+], from Chr4a to Chr4a
	nonreciprocal translocation on segments [9+], from Chr2b to Chr20a
