index	origin	start	end
1	Chr1	10000	89361344
2	Chr1	89361345	91649625
3	Chr1	91649626	93869404
4	Chr1	93869405	94983762
5	Chr1	94983763	122026459
CEN1	Chr1	122026460	125184587
6	Chr1	125184588	147061831
7	Chr1	147061832	148411223
8	Chr1	148411224	248946421
9	Chr2	10000	92188145
CEN2	Chr2	92188146	94090557
10	Chr2	94090558	242183528
11	Chr3	10000	60116353
12	Chr3	60116354	62782803
13	Chr3	62782804	90772458
CEN3	Chr3	90772459	93655574
14	Chr3	93655575	179684422
15	Chr3	179684423	183307180
16	Chr3	183307181	198235558
17	Chr4	10000	49708100
CEN4	Chr4	49708101	51743951
18	Chr4	51743952	190204554
19	Chr5	10000	46485900
CEN5	Chr5	46485901	50059807
20	Chr5	50059808	147607184
21	Chr5	147607185	157488660
22	Chr5	157488661	160143845
23	Chr5	160143846	162843014
24	Chr5	162843015	181478258
25	Chr6	60000	58553888
CEN6	Chr6	58553889	59829934
26	Chr6	59829935	170745978
27	Chr7	10000	58169653
CEN7	Chr7	58169654	60828234
28	Chr7	60828235	159335972
29	Chr8	60000	44033744
CEN8	Chr8	44033745	45877265
30	Chr8	45877266	145078635
31	Chr9	10000	43236167
CEN9	Chr9	43236168	45518558
32	Chr9	45518559	75086227
33	Chr9	75086228	81033091
34	Chr9	81033092	118901018
35	Chr9	118901019	124867106
36	Chr9	124867107	126421766
37	Chr9	126421767	132387853
38	Chr9	132387854	138334716
39	Chr10	10000	39686682
CEN10	Chr10	39686683	41593521
40	Chr10	41593522	133787421
41	Chr11	60000	51078348
CEN11	Chr11	51078349	54425074
42	Chr11	54425075	135076621
43	Chr12	10000	34769407
CEN12	Chr12	34769408	37185252
44	Chr12	37185253	133265308
45	Chr13	16000000	16000000
CEN13	Chr13	16000001	18051248
46	Chr13	18051249	33447103
47	Chr13	33447104	33447104
48	Chr13	33447105	114354327
49	Chr14	16000000	16000000
CEN14	Chr14	16000001	18173523
50	Chr14	18173524	63302212
51	Chr14	63302213	65503955
52	Chr14	65503956	68737322
53	Chr14	68737323	68979364
54	Chr14	68979365	90372698
55	Chr14	90372699	94472100
56	Chr14	94472101	106883717
57	Chr15	17000000	17000000
CEN15	Chr15	17000001	19725254
58	Chr15	19725255	101981188
59	Chr16	10000	36311158
CEN16	Chr16	36311159	38280682
60	Chr16	38280683	73517264
61	Chr16	73517265	78393370
62	Chr16	78393371	90228344
63	Chr17	60000	22813679
CEN17	Chr17	22813680	26885980
64	Chr17	26885981	83247440
65	Chr18	10000	15460899
CEN18	Chr18	15460900	20861206
66	Chr18	20861207	80263284
67	Chr19	60000	24498980
CEN19	Chr19	24498981	27190874
68	Chr19	27190875	58607615
69	Chr20	60000	26436232
CEN20	Chr20	26436233	30038348
70	Chr20	30038349	64334166
71	Chr21	5010000	10864560
CEN21	Chr21	10864561	12915808
72	Chr21	12915809	46699982
73	Chr22	10510000	12954788
CEN22	Chr22	12954789	15054318
74	Chr22	15054319	50808467
75	ChrX	10000	58605579
CENX	ChrX	58605580	62412542
76	ChrX	62412543	156030894
---
chromosome	KT	telo1_len	telo2_len
Chr1a	1+,2+,5+,CEN1+,6+,8+	10000	10000
Chr1b	1+,55+,4+,5+,CEN1+,6+,7+,8+	10000	10000
Chr2a	9+,CEN2+,10+	10000	10000
Chr2b	9+,CEN2+,10+	10000	10000
Chr3a	11+,12+,13+,CEN3+,14+,15+,16+	10000	60000
Chr3b	11+,15+,13+,CEN3+,14+,12+,16+	10000	60000
Chr4a	17+,CEN4+,18+	10000	10000
Chr4b	17+,CEN4+,18+	10000	10000
Chr5a	19+,CEN5+,20+,21+,22+,23+,24+	10000	60000
Chr5b	19+,CEN5+,20+,22+,24+	10000	60000
Chr6a	25+,CEN6+,26+	60000	60000
Chr6b	25+,CEN6+,26+	60000	60000
Chr7a	27+,CEN7+,28+	10000	10000
Chr7b	27+,CEN7+,28+	10000	10000
Chr8a	29+,CEN8+,30+	60000	60000
Chr8b	29+,CEN8+,30+	60000	60000
Chr9a	31+,CEN9+,32+,33+,34+,35+,36+,37+,36+,37+	10000	60000
Chr9b	31+,CEN9+,32+,33+,34+,35+,36+,37+,38+	10000	60000
Chr10a	39+,CEN10+,40+	10000	10000
Chr10b	39+,CEN10+,40+	10000	10000
Chr11a	41+,CEN11+,42+	60000	10000
Chr11b	41+,CEN11+,42+	60000	10000
Chr12a	43+,CEN12+,44+	10000	10000
Chr12b	43+,CEN12+,44+	10000	10000
Chr13a	45+,CEN13+,46+,3+,4+,47+,48+	16000000	10000
Chr13b	45+,CEN13+,46+,47+,48+	16000000	10000
Chr14a	49+,CEN14+,50+,51+,52+,52-,51-,53+,54+,55+,56+	16000000	160000
Chr14b	49+,CEN14+,50+,51+,54+,2+,3+,56+	16000000	160000
Chr15a	57+,CEN15+,58+	17000000	10000
Chr15b	57+,CEN15+,58+	17000000	10000
Chr16a	59+,CEN16+,60+,61+,62+	10000	110000
Chr16b	59+,CEN16+,60+,62+	10000	110000
Chr17a	63+,CEN17+,64+	60000	10000
Chr17b	63+,CEN17+,64+	60000	10000
Chr18a	65+,CEN18+,66+	10000	110000
Chr18b	65+,CEN18+,66+	10000	110000
Chr19a	67+,CEN19+,68+	60000	10000
