index	origin	start	end
1	Chr1	10000	122026459
CEN1	Chr1	122026460	125184587
2	Chr1	125184588	248946421
3	Chr2	10000	4594951
4	Chr2	4594952	13577006
5	Chr2	13577007	92188145
CEN2	Chr2	92188146	94090557
6	Chr2	94090558	199409402
7	Chr2	199409403	208281426
8	Chr2	208281427	242183528
9	Chr3	10000	90772458
CEN3	Chr3	90772459	93655574
10	Chr3	93655575	198235558
11	Chr4	10000	49708100
CEN4	Chr4	49708101	51743951
12	Chr4	51743952	190204554
13	Chr5	10000	46485900
CEN5	Chr5	46485901	50059807
14	Chr5	50059808	172571835
15	Chr5	172571836	172571836
16	Chr5	172571837	181478258
17	Chr6	60000	58553888
CEN6	Chr6	58553889	59829934
18	Chr6	59829935	90472428
19	Chr6	90472429	97050926
20	Chr6	97050927	125860505
21	Chr6	125860506	133181198
22	Chr6	133181199	170745978
23	Chr7	10000	58169653
CEN7	Chr7	58169654	60828234
24	Chr7	60828235	159335972
25	Chr8	60000	21281712
26	Chr8	21281713	26713370
27	Chr8	26713371	44033744
CEN8	Chr8	44033745	45877265
28	Chr8	45877266	66506305
29	Chr8	66506306	71202517
30	Chr8	71202518	118593215
31	Chr8	118593216	122968346
32	Chr8	122968347	145078635
33	Chr9	10000	43236167
CEN9	Chr9	43236168	45518558
34	Chr9	45518559	138334716
35	Chr10	10000	39686682
CEN10	Chr10	39686683	41593521
36	Chr10	41593522	133787421
37	Chr11	60000	51078348
CEN11	Chr11	51078349	54425074
38	Chr11	54425075	135076621
39	Chr12	10000	9690337
40	Chr12	9690338	15209293
41	Chr12	15209294	34769407
CEN12	Chr12	34769408	37185252
42	Chr12	37185253	133265308
43	Chr13	16000000	16000000
CEN13	Chr13	16000001	18051248
44	Chr13	18051249	114354327
45	Chr14	16000000	16000000
CEN14	Chr14	16000001	18173523
46	Chr14	18173524	106883717
47	Chr15	17000000	17000000
CEN15	Chr15	17000001	19725254
48	Chr15	19725255	48062155
49	Chr15	48062156	50116812
50	Chr15	50116813	51957506
51	Chr15	51957507	56671916
52	Chr15	56671917	74120301
53	Chr15	74120302	75680570
54	Chr15	75680571	101981188
55	Chr16	10000	36311158
CEN16	Chr16	36311159	38280682
56	Chr16	38280683	90228344
57	Chr17	60000	22813679
CEN17	Chr17	22813680	26885980
58	Chr17	26885981	83247440
59	Chr18	10000	15460899
CEN18	Chr18	15460900	20861206
60	Chr18	20861207	54397965
61	Chr18	54397966	60335050
62	Chr18	60335051	61751426
63	Chr18	61751427	67642662
64	Chr18	67642663	80263284
65	Chr19	60000	24498980
CEN19	Chr19	24498981	27190874
66	Chr19	27190875	58607615
67	Chr20	60000	26436232
CEN20	Chr20	26436233	30038348
68	Chr20	30038349	64334166
69	Chr21	5010000	10864560
CEN21	Chr21	10864561	12915808
70	Chr21	12915809	46699982
71	Chr22	10510000	12954788
CEN22	Chr22	12954789	15054318
72	Chr22	15054319	50808467
73	ChrX	10000	58605579
CENX	ChrX	58605580	62412542
74	ChrX	62412543	156030894
75	ChrY	10000	10316944
CENY	ChrY	10316945	10544039
76	ChrY	10544040	57217414
---
chromosome	KT	telo1_len	telo2_len
Chr1a	1+,CEN1+,2+	10000	10000
Chr1b	1+,CEN1+,2+	10000	10000
Chr2a	3+,5+,CEN2+,6+,7-,7+,8+	10000	10000
Chr2b	3+,4+,5+,CEN2+,6+,7+,8+	10000	10000
Chr3a	9+,CEN3+,10+	10000	60000
Chr3b	9+,CEN3+,10+	10000	60000
Chr4a	11+,CEN4+,12+	10000	10000
Chr4b	11+,CEN4+,12+	10000	10000
Chr5a	13+,CEN5+,14+,15+,16+	10000	60000
Chr5b	13+,CEN5+,14+,49+,50+,15+,16+	10000	60000
Chr6a	17+,CEN6+,18+,19+,20+,21+,22+	60000	60000
Chr6b	17+,CEN6+,18+,21+,19+,20+,22+	60000	60000
Chr7a	23+,CEN7+,24+	10000	10000
Chr7b	23+,CEN7+,24+	10000	10000
Chr8a	25+,26+,27+,CEN8+,28+,29+,30+,31+,32+	60000	60000
Chr8b	25+,61+,27+,CEN8+,28+,31+,30+,29+,32+	60000	60000
Chr9a	33+,CEN9+,34+	10000	60000
Chr9b	33+,CEN9+,34+	10000	60000
Chr10a	35+,CEN10+,36+	10000	10000
Chr10b	35+,CEN10+,36+	10000	10000
Chr11a	37+,CEN11+,38+	60000	10000
Chr11b	37+,CEN11+,38+	60000	10000
Chr12a	39+,40+,40+,41+,CEN12+,42+	10000	10000
Chr12b	39+,40+,41+,CEN12+,42+	10000	10000
Chr13a	43+,CEN13+,44+	16000000	10000
Chr13b	43+,CEN13+,44+	16000000	10000
Chr13c	43+,CEN13+,44+	16000000	10000
Chr14a	45+,CEN14+,46+	16000000	160000
Chr14b	45+,CEN14+,46+	16000000	160000
Chr15a	47+,CEN15+,48+,49+,50+,51+,50+,51+,52+,54+	17000000	10000
Chr15b	47+,CEN15+,48+,51+,52+,53+,54+	17000000	10000
Chr16a	55+,CEN16+,56+	10000	110000
Chr16b	55+,CEN16+,56+	10000	110000
Chr17a	57+,CEN17+,58+	60000	10000
Chr17b	57+,CEN17+,58+	60000	10000
Chr18a	59+,CEN18+,60+,61+,62+,63+,63-,64+	10000	110000
Chr18b	59+,CEN18+,60+,26+,62+,63+,64+	10000	110000
Chr19a	65+,CEN19+,66+	60000	10000
Chr19b	65+,CEN19+,66+	60000	10000
Chr20a	67+,CEN20+,68+	60000	110000
Chr20b	67+,CEN20+,68+	60000	110000
Chr21a	69+,CEN21+,70+	5010000	10000
Chr21b	69+,CEN21+,70+	5010000	10000
Chr22a	71+,CEN22+,72+	10510000	10000
Chr22b	71+,CEN22+,72+	10510000	10000
ChrXa	73+,CENX+,74+	10000	10000
ChrYa	75+,CENY+,76+	10000	10000
---
initialization
	autosomes: ['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr5', 'Chr6', 'Chr7', 'Chr8', 'Chr9', 'Chr10', 'Chr11', 'Chr12', 'Chr13', 'Chr14', 'Chr15', 'Chr16', 'Chr17', 'Chr18', 'Chr19', 'Chr20', 'Chr21', 'Chr22']
	autosomal copy number: 2
	sex chromosomes: ['ChrX', 'ChrY']
block 1: random events
	deletion on segments [53+], from Chr15a to Chr15a
	balanced reciprocal translocation on segments [26+], from Chr8b to Chr18b
	balanced reciprocal translocation on segments [61+], from Chr18b to Chr8b
	deletion on segments [4+], from Chr2a to Chr2a
	tandem duplication on segments [50+,51+], from Chr15a to Chr15a
	chromosomal duplication on segments [43+,CEN13+,44+], from Chr13a to Chr13a
	nonreciprocal translocation on segments [49+,50+], from Chr15b to Chr5b
	left duplication inversion on segments [7+], from Chr2a to Chr2a
	right duplication inversion on segments [63+], from Chr18a to Chr18a
	balanced reciprocal translocation on segments [31+], from Chr8b to Chr8b
	balanced reciprocal translocation on segments [29+], from Chr8b to Chr8b
	balanced reciprocal translocation on segments [19+], from Chr6b to Chr6b
	balanced reciprocal translocation on segments [21+], from Chr6b to Chr6b
	tandem duplication on segments [40+], from Chr12a to Chr12a
