index	origin	start	end
1	Chr1	10000	122026459
CEN1	Chr1	122026460	125184587
2	Chr1	125184588	248946421
3	Chr2	10000	92188145
CEN2	Chr2	92188146	94090557
4	Chr2	94090558	242183528
5	Chr3	10000	90772458
CEN3	Chr3	90772459	93655574
6	Chr3	93655575	178141140
7	Chr3	178141141	180335513
8	Chr3	180335514	198235558
9	Chr4	10000	49708100
CEN4	Chr4	49708101	51743951
10	Chr4	51743952	148575472
11	Chr4	148575473	151157542
12	Chr4	151157543	190204554
13	Chr5	10000	46485900
CEN5	Chr5	46485901	50059807
14	Chr5	50059808	181478258
15	Chr6	60000	58553888
CEN6	Chr6	58553889	59829934
16	Chr6	59829935	170745978
17	Chr7	10000	18678236
18	Chr7	18678237	20353033
19	Chr7	20353034	58169653
CEN7	Chr7	58169654	60828234
20	Chr7	60828235	65824937
21	Chr7	65824938	66884567
22	Chr7	66884568	118849884
23	Chr7	118849885	121568890
24	Chr7	121568891	126290455
25	Chr7	126290456	129027401
26	Chr7	129027402	133081001
27	Chr7	133081002	135415147
28	Chr7	135415148	159335972
29	Chr8	60000	44033744
CEN8	Chr8	44033745	45877265
30	Chr8	45877266	145078635
31	Chr9	10000	43236167
CEN9	Chr9	43236168	45518558
32	Chr9	45518559	138334716
33	Chr10	10000	39686682
CEN10	Chr10	39686683	41593521
34	Chr10	41593522	133787421
35	Chr11	60000	51078348
CEN11	Chr11	51078349	54425074
36	Chr11	54425075	135076621
37	Chr12	10000	34769407
CEN12	Chr12	34769408	37185252
38	Chr12	37185253	133265308
39	Chr13	16000000	16000000
CEN13	Chr13	16000001	18051248
40	Chr13	18051249	56261538
41	Chr13	56261539	57831463
42	Chr13	57831464	85674828
43	Chr13	85674829	88522022
44	Chr13	88522023	112784403
45	Chr13	112784404	114354327
46	Chr14	16000000	16000000
CEN14	Chr14	16000001	18173523
47	Chr14	18173524	106883717
48	Chr15	17000000	17000000
CEN15	Chr15	17000001	19725254
49	Chr15	19725255	101981188
50	Chr16	10000	36311158
CEN16	Chr16	36311159	38280682
51	Chr16	38280683	77407599
52	Chr16	77407600	77407600
53	Chr16	77407601	90228344
54	Chr17	60000	22813679
CEN17	Chr17	22813680	26885980
55	Chr17	26885981	83247440
56	Chr18	10000	15460899
CEN18	Chr18	15460900	20861206
57	Chr18	20861207	80263284
58	Chr19	60000	24498980
CEN19	Chr19	24498981	27190874
59	Chr19	27190875	51188096
60	Chr19	51188097	51188097
61	Chr19	51188098	58607615
62	Chr20	60000	26436232
CEN20	Chr20	26436233	30038348
63	Chr20	30038349	64334166
64	Chr21	5010000	10864560
CEN21	Chr21	10864561	12915808
65	Chr21	12915809	46699982
66	Chr22	10510000	12954788
CEN22	Chr22	12954789	15054318
67	Chr22	15054319	50808467
68	ChrX	10000	6537770
69	ChrX	6537771	8165154
70	ChrX	8165155	50213660
71	ChrX	50213661	51694229
72	ChrX	51694230	58605579
CENX	ChrX	58605580	62412542
73	ChrX	62412543	156030894
74	ChrY	10000	10316944
CENY	ChrY	10316945	10544039
75	ChrY	10544040	57217414
---
chromosome	KT	telo1_len	telo2_len
Chr1a	deleted	0	0
Chr1b	1+,CEN1+,2+	10000	10000
Chr2a	3+,CEN2+,4+	10000	10000
Chr2b	3+,CEN2+,4+	10000	10000
Chr3a	5+,CEN3+,6+,7+,8+	10000	60000
Chr3b	5+,CEN3+,6+,8+	10000	60000
Chr4a	9+,CEN4+,10+,11+,12+	10000	10000
Chr4b	9+,CEN4+,10+,43+,12+	10000	10000
Chr5a	13+,CEN5+,14+	10000	60000
Chr5b	13+,CEN5+,14+	10000	60000
Chr5c	CEN5+,14+	10000	60000
Chr6a	15+,CEN6+,16+	60000	60000
Chr6b	15+,CEN6+,16+	60000	60000
Chr6c	15+,CEN6+	60000	60000
Chr7a	17+,18+,19+,CEN7+,20+,21+,22+,23+,24+,25+,26+,27+,28+	10000	10000
Chr7b	17+,27+,19+,CEN7+,20+,22+,24+,25-,25+,26+,18+,28+	10000	10000
Chr8a	29+,CEN8+,30+	60000	60000
Chr8b	deleted	0	0
Chr9a	31+,CEN9+,32+	10000	60000
Chr9b	31+,CEN9+,32+	10000	60000
Chr10a	33+,CEN10+,34+	10000	10000
Chr10b	33+,CEN10+,34+	10000	10000
Chr11a	35+,CEN11+,36+	60000	10000
Chr11b	35+,CEN11+,36+	60000	10000
Chr12a	37+,CEN12+,38+	10000	10000
Chr12b	37+,CEN12+,38+	10000	10000
Chr13a	39+,CEN13+,40+,41+,42+,43+,44+,45+	16000000	10000
Chr13b	39+,CEN13+,40+,41+,42+,11+,44+,45-,45+	16000000	10000
Chr14a	46+,CEN14+,47+	16000000	160000
Chr14b	46+,CEN14+,47+	16000000	160000
Chr15a	48+,CEN15+,49+	17000000	10000
Chr15b	48+,CEN15+,49+	17000000	10000
Chr16a	50+,CEN16+,51+,7+,52+,53+	10000	110000
Chr16b	50+,CEN16+,51+,52+,53+	10000	110000
Chr17a	54+,CEN17+,55+	60000	10000
Chr17b	54+,CEN17+,55+	60000	10000
Chr18a	56+,CEN18+,57+	10000	110000
Chr18b	56+,CEN18+,57+	10000	110000
Chr19a	58+,CEN19+,59+,21+,60+,61+	60000	10000
Chr19b	58+,CEN19+,59+,60+,61+	60000	10000
Chr20a	62+,CEN20+,63+	60000	110000
Chr20b	62+,CEN20+,63+	60000	110000
Chr21a	64+,CEN21+,65+	5010000	10000
Chr21b	64+,CEN21+,65+	5010000	10000
Chr22a	66+,CEN22+,67+	10510000	10000
Chr22b	66+,CEN22+,67+	10510000	10000
ChrXa	68+,70+,72+,CENX+,73+	10000	10000
ChrYa	74+,CENY+,75+	10000	10000
---
initialization
	autosomes: ['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr5', 'Chr6', 'Chr7', 'Chr8', 'Chr9', 'Chr10', 'Chr11', 'Chr12', 'Chr13', 'Chr14', 'Chr15', 'Chr16', 'Chr17', 'Chr18', 'Chr19', 'Chr20', 'Chr21', 'Chr22']
	autosomal copy number: 2
	sex chromosomes: ['ChrX', 'ChrY']
block 1: random events
	deletion on segments [69+], from ChrXa to ChrXa	(del,68.1,70.1)
	arm tandem duplication on segments [15+], from Chr6b to Chr6c	-
	nonreciprocal translocation on segments [7+], from Chr3b to Chr16a	(del,6.1,8.1)(ins,7.1)
	nonreciprocal translocation on segments [21+], from Chr7b to Chr19a	(del,20.1,22.1)(ins,21.1)
	balanced reciprocal translocation on segments [43+], from Chr13b to Chr4b	(del,42.1,44.1)(ins,43.1)
	balanced reciprocal translocation on segments [11+], from Chr4b to Chr13b	(del,10.1,12.1)(ins,11.1)
	left duplication inversion on segments [25+], from Chr7b to Chr7b	(ins,25.1)
	left duplication inversion on segments [45+], from Chr13b to Chr13b	(ins,45.1)
	balanced reciprocal translocation on segments [18+], from Chr7b to Chr7b	(del,17.1,19.1)(ins,18.1)
	balanced reciprocal translocation on segments [27+], from Chr7b to Chr7b	(del,26.1,28.1)(ins,27.1)
	deletion on segments [71+], from ChrXa to ChrXa	(del,70.1,72.1)
	chromosomal deletion on segments [1+,CEN1+,2+], from Chr1a to Chr1a	-
	chromosomal deletion on segments [29+,CEN8+,30+], from Chr8b to Chr8b	-
	deletion on segments [23+], from Chr7b to Chr7b	(del,22.1,24.1)
	arm tandem duplication on segments [14+], from Chr5a to Chr5c	-
