index	origin	start	end
1	Chr1	10000	122026459
CEN1	Chr1	122026460	125184587
2	Chr1	125184588	248946421
3	Chr2	10000	10202397
4	Chr2	10202398	10346559
5	Chr2	10346560	92188145
CEN2	Chr2	92188146	94090557
6	Chr2	94090558	97946412
7	Chr2	97946413	98059717
8	Chr2	98059718	195747264
9	Chr2	195747265	195911638
10	Chr2	195911639	242018843
11	Chr2	242018844	242044563
12	Chr2	242044564	242183528
13	Chr3	10000	9436113
14	Chr3	9436114	9585144
15	Chr3	9585145	84371942
16	Chr3	84371943	84546937
17	Chr3	84546938	90772458
CEN3	Chr3	90772459	93655574
18	Chr3	93655575	103571242
19	Chr3	103571243	103719518
20	Chr3	103719519	118894891
21	Chr3	118894892	119092911
22	Chr3	119092912	198235558
23	Chr4	10000	49708100
CEN4	Chr4	49708101	51743951
24	Chr4	51743952	190072095
25	Chr4	190072096	190204554
26	Chr5	10000	46485900
CEN5	Chr5	46485901	50059807
27	Chr5	50059808	181478258
28	Chr6	60000	58553888
CEN6	Chr6	58553889	59829934
29	Chr6	59829935	141302304
30	Chr6	141302305	141487524
31	Chr6	141487525	170745978
32	Chr7	10000	58169653
CEN7	Chr7	58169654	60828234
33	Chr7	60828235	101346063
34	Chr7	101346064	101534415
35	Chr7	101534416	159335972
36	Chr8	60000	42110934
37	Chr8	42110935	42264424
38	Chr8	42264425	44033744
CEN8	Chr8	44033745	45877265
39	Chr8	45877266	144977647
40	Chr8	144977648	145078635
41	Chr9	10000	205347
42	Chr9	205348	43236167
CEN9	Chr9	43236168	45518558
43	Chr9	45518559	138334716
44	Chr10	10000	3014985
45	Chr10	3014986	3196671
46	Chr10	3196672	39686682
CEN10	Chr10	39686683	41593521
47	Chr10	41593522	92399200
48	Chr10	92399201	92591164
49	Chr10	92591165	133787421
50	Chr11	60000	51078348
CEN11	Chr11	51078349	54425074
51	Chr11	54425075	133025492
52	Chr11	133025493	133177331
53	Chr11	133177332	134923628
54	Chr11	134923629	135076621
55	Chr12	10000	152186
56	Chr12	152187	34769407
CEN12	Chr12	34769408	37185252
57	Chr12	37185253	133265308
58	Chr13	16000000	16000000
CEN13	Chr13	16000001	18051248
59	Chr13	18051249	114252676
60	Chr13	114252677	114334204
61	Chr13	114334205	114354327
62	Chr14	16000000	16000000
CEN14	Chr14	16000001	18173523
63	Chr14	18173524	106883717
64	Chr15	17000000	17000000
CEN15	Chr15	17000001	19725254
65	Chr15	19725255	101981188
66	Chr16	10000	36311158
CEN16	Chr16	36311159	38280682
67	Chr16	38280683	90228344
68	Chr17	60000	22813679
CEN17	Chr17	22813680	26885980
69	Chr17	26885981	83069317
70	Chr17	83069318	83247440
71	Chr18	10000	15460899
CEN18	Chr18	15460900	20861206
72	Chr18	20861207	80263284
73	Chr19	60000	24498980
CEN19	Chr19	24498981	27190874
74	Chr19	27190875	58607615
75	Chr20	60000	26436232
CEN20	Chr20	26436233	30038348
76	Chr20	30038349	64334166
77	Chr21	5010000	10864560
CEN21	Chr21	10864561	12915808
78	Chr21	12915809	46516456
79	Chr21	46516457	46699982
80	Chr22	10510000	12954788
CEN22	Chr22	12954789	15054318
81	Chr22	15054319	50808467
82	ChrX	10000	58605579
CENX	ChrX	58605580	62412542
83	ChrX	62412543	102259241
84	ChrX	102259242	102377122
85	ChrX	102377123	148809991
86	ChrX	148809992	148983582
87	ChrX	148983583	156030894
---
chromosome	KT	telo1_len	telo2_len
Chr1a	1+,CEN1+,2+,2+	10000	10000
Chr2a	3+,7+,5+,CEN2+,6+,4+,8+,45+,10+,11+,12+	10000	10000
Chr2b	3+,7+,5+,CEN2+,6+,4+,8+,45+,10+,12+,11-	10000	10000
Chr3a	13+,19+,15+,34+,17+,CEN3+,18+,14+,20+,21+,22+	10000	60000
Chr3b	13+,14+,15+,16+,17+,CEN3+,18+,19+,20+,48+,22+	10000	60000
Chr4a	23+,CEN4+,24+,25-,25+	10000	10000
Chr5a	26+,CEN5+,27+	10000	60000
Chr6a	28+,CEN6+,29+,30+,30+,31+	60000	60000
Chr7a	32+,CEN7+,33+,16+,35+	10000	10000
Chr8a	36+,37+,37+,38+,CEN8+,39+,40+,40+	60000	60000
Chr9a	41-,42+,CEN9+,43+	10000	60000
Chr10a	deleted	0	0
Chr11a	50+,CEN11+,51+,53+,54+,51+,52+,53+,54+,54+,51+,53+,54+,51+,52+,53+,54+,54+	60000	10000
Chr12a	55-,55+,56+,CEN12+,57+	10000	10000
Chr13a	58+,CEN13+,59+,60+,61-,60-,61-	16000000	10000
Chr13b	58+,CEN13+,59+,60+,61-,60-,61-	16000000	10000
Chr14a	62+,CEN14+,63+	16000000	160000
Chr14b	62+,CEN14+,63+	16000000	160000
Chr14c	62+,CEN14+,63+	16000000	160000
Chr15a	64+,CEN15+,65+	17000000	10000
Chr16a	66+,CEN16+,67+	10000	110000
Chr17a	68+,CEN17+,69+,70+,70+	60000	10000
Chr18a	71+,CEN18+,72+	10000	110000
Chr19a	73+,CEN19+,74+	60000	10000
Chr20a	75+,CEN20+,76+	60000	110000
Chr21a	77+,CEN21+,78+,79+,79+	5010000	10000
Chr22a	80+,CEN22+,81+	10510000	10000
ChrXa	82+,CENX+,83+,84+,85+,86+,87+,83+,84+,85+,86+,87+	10000	10000
ChrXb	82+,CENX+,83+,86+,85+,86+,84+	10000	10000
---
initialization
	autosomes: ['Chr1', 'Chr2', 'Chr3', 'Chr4', 'Chr5', 'Chr6', 'Chr7', 'Chr8', 'Chr9', 'Chr10', 'Chr11', 'Chr12', 'Chr13', 'Chr14', 'Chr15', 'Chr16', 'Chr17', 'Chr18', 'Chr19', 'Chr20', 'Chr21', 'Chr22']
	autosomal copy number: 1
	sex chromosomes: ['ChrX', 'ChrX']
block 1: demo_random1
	reciprocal translocation on segments [45+], from Chr10a to Chr2a
	reciprocal translocation on segments [9+], from Chr2a to Chr10a
	chromosomal duplication on segments [62+,CEN14+,63+], from Chr14a to Chr14b
	chromosomal duplication on segments [13+,14+,15+,16+,17+,CEN3+,18+,19+,20+,21+,22+], from Chr3a to Chr3b
	arm tandem duplication on segments [83+,84+,85+,86+,87+], from ChrXa to ChrXa
	tandem duplication on segments [40+], from Chr8a to Chr8a
	inversion on segments [41+], from Chr9a to Chr9a
	arm tandem duplication on segments [51+,52+,53+,54+], from Chr11a to Chr11a
	deletion on segments [52+], from Chr11a to Chr11a
	reciprocal translocation on segments [84+], from ChrXb to ChrXb
	reciprocal translocation on segments [86+], from ChrXb to ChrXb
	reciprocal translocation on segments [19+], from Chr3a to Chr3a
	reciprocal translocation on segments [14+], from Chr3a to Chr3a
	reciprocal translocation on segments [7+], from Chr2a to Chr2a
	reciprocal translocation on segments [4+], from Chr2a to Chr2a
	tandem duplication on segments [79+], from Chr21a to Chr21a
	tandem duplication on segments [37+], from Chr8a to Chr8a
	tandem duplication on segments [70+], from Chr17a to Chr17a
	reciprocal translocation on segments [34+], from Chr7a to Chr3a
	reciprocal translocation on segments [16+], from Chr3a to Chr7a
	tandem duplication on segments [54+], from Chr11a to Chr11a
	tandem duplication on segments [30+], from Chr6a to Chr6a
	tandem duplication on segments [60+,61+], from Chr13a to Chr13a
	reciprocal translocation on segments [21+], from Chr3b to Chr10a
	reciprocal translocation on segments [48+], from Chr10a to Chr3b
	chromosomal duplication on segments [3+,7+,5+,CEN2+,6+,4+,8+,45+,10+,11+,12+], from Chr2a to Chr2b
	chromosomal deletion on segments [44+,9+,46+,CEN10+,47+,21+,49+], from Chr10a to Chr10a
	arm tandem duplication on segments [2+], from Chr1a to Chr1a
	inversion on segments [12+], from Chr2b to Chr2b
	left duplication inversion on segments [55+], from Chr12a to Chr12a
	inversion on segments [61+,60+,61+], from Chr13a to Chr13a
	chromosomal duplication on segments [58+,CEN13+,59+,60+,61+,60+,61+], from Chr13a to Chr13b
	arm tandem duplication on segments [51+,53+,54+,51+,52+,53+,54+,54+], from Chr11a to Chr11a
	inversion on segments [11+,12+], from Chr2b to Chr2b
	chromosomal duplication on segments [62+,CEN14+,63+], from Chr14b to Chr14c
	left duplication inversion on segments [25+], from Chr4a to Chr4a
